id,Name,Nationality,Club,Score,International_reputation
542,D. Lovren,Croatia,Liverpool,80,2
543,S. Verdi,Italy,Napoli,80,2
544,L. Muriel,Colombia,Atalanta,80,2
545,D. Vida,Croatia,Beşiktaş JK,80,3
546,Ibai Gómez,Spain,Athletic Club de Bilbao,80,1
547,S. Berghuis,Netherlands,Feyenoord,80,2
548,Cristian Tello,Spain,Real Betis,80,2
549,Ismaily,Brazil,Shakhtar Donetsk,80,1
550,F. Ghoulam,Algeria,Napoli,80,2
551,S. Sané,Senegal,FC Schalke 04,80,2
552,S. Zaza,Italy,Torino,80,2
553,S. Vrsaljko,Croatia,Atlético Madrid,80,2
554,Pozuelo,Spain,Toronto FC,80,1
555,R. Jiménez,Mexico,Wolverhampton Wanderers,80,3
556,Bernard,Brazil,Everton,80,2
557,T. Stepanenko,Ukraine,Shakhtar Donetsk,80,1
558,F. Armani,Argentina,River Plate,80,1
559,I. Marcone,Argentina,Boca Juniors,80,1
560,Jony,Spain,Lazio,80,1
561,Mata,Spain,Getafe CF,80,1
562,M. Marega,Mali,FC Porto,80,2
563,Everton Andrão,Brazil,Fluminense,80,1
564,Welington Dano,Brazil,Cruzeiro,80,1
565,J. Serendero,Uruguay,Uruguay,80,1
566,M. Baldona,Uruguay,Uruguay,80,1
567,M. Nérez,Uruguay,Uruguay,80,1
568,Vinícius Jr.,Brazil,Real Madrid,79,2
569,R. Bentancur,Uruguay,Juventus,79,1
570,Lucas Paquetá,Brazil,Milan,79,1
571,A. Wan-Bissaka,United Kingdom,Manchester United,79,1
572,A. Lafont,France,FC Nantes,79,2
573,I. Konaté,France,RB Leipzig,79,1
574,Merino,Spain,Real Sociedad,79,1
575,S. Berge,Norway,KRC Genk,79,1
576,L. Pellegrini,Italy,Roma,79,2
577,F. Chiesa,Italy,Fiorentina,79,2
578,Dani Olmo,Spain,Dinamo Zagreb,79,1
579,R. Zobnin,Russia,Spartak Moscow,79,1
580,A. Saint-Maximin,France,Newcastle United,79,2
581,C. Pavón,Argentina,LA Galaxy,79,1
582,T. Kehrer,Germany,Paris Saint-Germain,79,1
583,C. Pulisic,United States,Chelsea,79,3
584,F. Kessié,Cote d'Ivoire,Milan,79,2
585,A. Hakimi,Morocco,Borussia Dortmund,79,1
586,D. Samassékou,Mali,TSG 1899 Hoffenheim,79,1
587,Marc Roca,Spain,RCD Espanyol,79,1
588,D. Zagadou,France,Borussia Dortmund,79,1
589,V. Tsygankov,Ukraine,Dynamo Kyiv,79,1
590,De Tomás,Spain,SL Benfica,79,1
591,R. Loftus-Cheek,United Kingdom,Chelsea,79,1
592,S. Lobotka,Slovakia,RC Celta,79,1
593,J. Denayer,Belgium,Olympique Lyonnais,79,1
594,L. Klostermann,Germany,RB Leipzig,79,1
595,A. Golovin,Russia,AS Monaco,79,1
596,A. Diallo,France,Paris Saint-Germain,79,2
597,B. Pavard,France,FC Bayern München,79,1
598,M. Rashica,Kosovo,SV Werder Bremen,79,1
599,B. Chilwell,United Kingdom,Leicester City,79,1
600,Wesley,Brazil,Aston Villa,79,1
601,T. Souček,Czech Republic,SK Slavia Praha,79,1
602,Junior Firpo,Spain,FC Barcelona,79,1
603,J. Ward-Prowse,United Kingdom,Southampton,79,2
604,A. Januzaj,Belgium,Real Sociedad,79,1
605,Otávio,Brazil,FC Porto,79,1
606,N. Stark,Germany,Hertha BSC,79,1
607,A. Iwobi,Nigeria,Everton,79,1
608,J. Gbamin,Cote d'Ivoire,Everton,79,1
609,Munir,Spain,Sevilla FC,79,2
610,Angeliño,Spain,Manchester City,79,2
611,J. Maddison,United Kingdom,Leicester City,79,1
612,André Silva,Portugal,Milan,79,2
613,Richarlison,Brazil,Everton,79,1
614,S. Nakajima,Japan,FC Porto,79,1
615,Raphinha,Brazil,Sporting CP,79,1
616,E. Dier,United Kingdom,Tottenham Hotspur,79,2
617,L. Trossard,Belgium,Brighton & Hove Albion,79,1
618,Jonny,Spain,Wolverhampton Wanderers,79,2
619,M. Sanson,France,Olympique de Marseille,79,2
620,J. Lerma,Colombia,Bournemouth,79,1
621,L. Dubois,France,Olympique Lyonnais,79,1
622,F. Grillitsch,Austria,TSG 1899 Hoffenheim,79,2
623,L. Cabrera,Uruguay,Getafe CF,79,1
624,R. Barkley,United Kingdom,Chelsea,79,2
625,J. Murillo,Colombia,Sampdoria,79,2
626,J. Tarkowski,United Kingdom,Burnley,79,1
627,L. Karius,Germany,Beşiktaş JK,79,2
628,N. Pope,United Kingdom,Burnley,79,1
629,J. Brooks,United States,VfL Wolfsburg,79,2
630,M. Batshuayi,Belgium,Chelsea,79,2
631,M. Arnold,Germany,VfL Wolfsburg,79,2
632,S. Kolašinac,Bosnia and Herzegovina,Arsenal,79,2
633,F. Schär,Switzerland,Newcastle United,79,2
634,Ricardo Horta,Portugal,SC Braga,79,1
635,L. Alario,Argentina,Bayer 04 Leverkusen,79,2
636,Mariano,Dominican Republic,Real Madrid,79,1
637,R. Aguilar,France,AS Monaco,79,1
638,F. Balbuena,Paraguay,West Ham United,79,1
639,S. Mustafi,Germany,Arsenal,79,3
640,G. Pezzella,Argentina,Fiorentina,79,1
641,D. da Costa,Germany,Eintracht Frankfurt,79,1
642,W. Boly,France,Wolverhampton Wanderers,79,1
643,B. Davies,United Kingdom,Tottenham Hotspur,79,2
644,Fred,Brazil,Manchester United,79,1
645,M. Samatta,Tanzania,KRC Genk,79,1
646,Diego Carlos,Brazil,Sevilla FC,79,2
647,K. Toko-Ekambi,Cameroon,Villarreal CF,79,2
648,A. Lunev,Russia,Russia,79,1
649,R. Malinovskyi,Ukraine,Atalanta,79,1
650,M. Sakho,France,Crystal Palace,79,3
651,J. King,Norway,Bournemouth,79,1
652,H. Seferović,Switzerland,SL Benfica,79,2
653,Laguardia,Spain,Deportivo Alavés,79,1
654,P. Jones,United Kingdom,Manchester United,79,2
655,S. Aurier,Cote d'Ivoire,Tottenham Hotspur,79,2
656,L. Spinazzola,Italy,Roma,79,2
657,K. Lala,France,RC Strasbourg Alsace,79,1
658,S. Arias,Colombia,Atlético Madrid,79,2
659,D. Baselli,Italy,Torino,79,2
660,T. Savanier,France,Montpellier HSC,79,1
661,Leo Baptistao,Brazil,Wuhan Zall,79,2
662,J. Veltman,Netherlands,Ajax,79,2
663,D. Zappacosta,Italy,Chelsea,79,2
664,Wu Lei,China,RCD Espanyol,79,1
665,David Villa,Spain,Vissel Kobe,79,3
666,B. Yılmaz,Turkey,Beşiktaş JK,79,2
667,A. Mirante,Italy,Roma,79,2
668,S. Kalou,Cote d'Ivoire,Hertha BSC,79,3
669,Dante,Brazil,OGC Nice,79,3
670,M. Debuchy,France,AS Saint-Étienne,79,3
671,E. Lavezzi,Argentina,Hebei China Fortune FC,79,3
672,Borja Valero,Spain,Inter,79,3
673,M. Škrtel,Slovakia,Atalanta,79,3
674,J. Evans,United Kingdom,Leicester City,79,2
675,D. Valeri,Argentina,Portland Timbers,79,2
676,N. Moisander,Finland,SV Werder Bremen,79,2
677,D. Criscito,Italy,Genoa,79,2
678,A. Candreva,Italy,Inter,79,3
679,Marcano,Spain,FC Porto,79,3
680,K. Boateng,Ghana,Fiorentina,79,3
681,A. Fernández,Argentina,Beijing Renhe FC,79,2
682,N. Guzmán,Argentina,Tigres U.A.N.L.,79,3
683,Nacho Monreal,Spain,Arsenal,79,2
684,Ángel,Spain,Getafe CF,79,1
685,Granero,Spain,RCD Espanyol,79,2
686,Éder,Italy,Jiangsu Suning FC,79,3
687,R. Vormer,Netherlands,Club Brugge KV,79,2
688,S. Coleman,Ireland,Everton,79,2
689,A. Lallana,United Kingdom,Liverpool,79,3
690,A. Modeste,France,1. FC Köln,79,2
691,M. Gradel,Cote d'Ivoire,Toulouse Football Club,79,2
692,Yuri Berchiche,Spain,Athletic Club de Bilbao,79,2
693,Mariano,Brazil,Galatasaray SK,79,1
694,O. Toprak,Turkey,SV Werder Bremen,79,3
695,N. Kalinić,Croatia,Atlético Madrid,79,3
696,C. Stuani,Uruguay,Girona FC,79,1
697,S. Ulreich,Germany,FC Bayern München,79,2
698,K. Asamoah,Ghana,Inter,79,2
699,Alex Teixeira,Brazil,Jiangsu Suning FC,79,3
700,S. Lulić,Bosnia and Herzegovina,Lazio,79,2
701,S. Rondón,Venezuela,Dalian YiFang FC,79,2
702,S. Kagawa,Japan,Real Zaragoza,79,3
703,J. Wilshere,United Kingdom,West Ham United,79,3
704,Guaita,Spain,Crystal Palace,79,2
705,Cote,Spain,SD Eibar,79,1
706,Iago Falqué,Spain,Torino,79,3
707,J. Pastore,Argentina,Roma,79,3
708,Maicon,Brazil,Al Nassr,79,2
709,F. Orellana,Chile,SD Eibar,79,2
710,Elkeson,Brazil,Guangzhou Evergrande Taobao FC,79,2
711,Kike García,Spain,SD Eibar,79,1
712,Escudero,Spain,Sevilla FC,79,1
713,Mario Gaspar,Spain,Villarreal CF,79,2
714,Herrerín,Spain,Athletic Club de Bilbao,79,1
715,Víctor Ruiz,Spain,Beşiktaş JK,79,2
716,I. Belfodil,Algeria,TSG 1899 Hoffenheim,79,2
717,A. Yarmolenko,Ukraine,West Ham United,79,3
718,W. Khazri,Tunisia,AS Saint-Étienne,79,1
719,E. Pérez,Argentina,River Plate,79,2
720,D. Caligiuri,Italy,FC Schalke 04,79,2
721,Danilo,Brazil,Juventus,79,2
722,N. Pallois,France,FC Nantes,79,2
723,Vitolo,Spain,Atlético Madrid,79,2
724,M. Badelj,Croatia,Fiorentina,79,2
725,C. Tătărușanu,Romania,Olympique Lyonnais,79,2
726,Zé Luís,Cabo Verde,FC Porto,79,1
727,D. Suárez,Uruguay,Getafe CF,79,1
728,Roque Mesa,Spain,CD Leganés,79,2
729,Mário Rui,Portugal,Napoli,79,2
730,T. Inui,Japan,SD Eibar,79,1
731,D. Cheryshev,Russia,Valencia CF,79,2
732,C. Bacca,Colombia,Villarreal CF,79,3
733,A. Samaris,Greece,SL Benfica,79,2
734,J. Hector,Germany,1. FC Köln,79,3
735,Rubén Peña,Spain,Villarreal CF,79,1
736,A. Hamdallah,Morocco,Al Nassr,79,1
737,D. Benedetto,Argentina,Olympique de Marseille,79,2
738,L. Sigali,Argentina,Racing Club,79,1
739,Raúl,Brazil,SC Braga,79,1
740,Petros,Brazil,Al Nassr,79,1
741,Dyego Sousa,Portugal,Shenzhen FC,79,1
742,Soares,Brazil,FC Porto,79,1
743,Rubén Alcaraz,Spain,Real Valladolid CF,79,1
744,Maikel Catarino,Brazil,Atlético Mineiro,79,1
745,Antônio Chiamuloira,Brazil,Internacional,79,1
746,Melvin Parrela,Brazil,CSA - AL,79,1
747,Gabri Prestão,Brazil,Internacional,79,1
748,Luimo Boas Santos,Brazil,Santos,79,1
749,D. Lenzado,Uruguay,Uruguay,79,1
750,E. Riquero,Uruguay,Uruguay,79,1
751,L. Sáreda,Uruguay,Uruguay,79,1
752,E. Aguerro,Uruguay,Uruguay,79,1
753,A. Meret,Italy,Napoli,78,1
754,I. Sarr,Senegal,Watford,78,1
755,D. Rice,United Kingdom,West Ham United,78,1
756,F. Neuhaus,Germany,Borussia Mönchengladbach,78,1
757,M. Zaracho,Argentina,Racing Club,78,1
758,Ferro,Portugal,SL Benfica,78,1
759,J. Andersen,Denmark,Olympique Lyonnais,78,1
760,D. Zakaria,Switzerland,Borussia Mönchengladbach,78,1
761,I. Diop,France,West Ham United,78,2
762,H. Onyekuru,Nigeria,AS Monaco,78,2
763,J. Ikoné,France,LOSC Lille,78,1
764,C. Ünder,Turkey,Roma,78,1
765,M. Ødegaard,Norway,Real Sociedad,78,3
766,J. Bamba,France,LOSC Lille,78,1
767,N. Amiri,Germany,Bayer 04 Leverkusen,78,1
768,O. Zinchenko,Ukraine,Manchester City,78,1
769,J. Mateta,France,1. FSV Mainz 05,78,1
770,O. Yokuşlu,Turkey,RC Celta,78,1
771,B. Cristante,Italy,Roma,78,2
772,L. Dendoncker,Belgium,Wolverhampton Wanderers,78,2
773,M. Dahoud,Germany,Borussia Dortmund,78,2
774,N. Elvedi,Switzerland,Borussia Mönchengladbach,78,2
775,Joelinton,Brazil,Newcastle United,78,1
776,Daniel Podence,Portugal,Olympiacos CFP,78,1
777,G. Dzhikiya,Russia,Spartak Moscow,78,1
778,Aarón Martín,Spain,1. FSV Mainz 05,78,1
779,E. Bardhi,Macedonia,Levante UD,78,1
780,N. Maksimović,Serbia,Getafe CF,78,1
781,Calero,Spain,RCD Espanyol,78,1
782,J. Butland,United Kingdom,Stoke City,78,2
783,Óliver Torres,Spain,Sevilla FC,78,3
784,G. Laborde,France,Montpellier HSC,78,1
785,R. De Paul,Argentina,Udinese,78,1
786,D. Selke,Germany,Hertha BSC,78,1
787,M. Lemina,Gabon,Southampton,78,2
788,D. Origi,Belgium,Liverpool,78,2
789,E. Pulgar,Chile,Fiorentina,78,1
790,A. Miranchuk,Russia,Lokomotiv Moscow,78,1
791,W. Barrios,Colombia,Colombia,78,1
792,J. Musso,Argentina,Udinese,78,1
793,Rúben Vezo,Portugal,Levante UD,78,1
794,B. Santamaria,France,Angers SCO,78,1
795,Y. Mina,Colombia,Everton,78,1
796,Joan Jordán,Spain,Sevilla FC,78,1
797,L. Tousart,France,Olympique Lyonnais,78,2
798,Y. Yazıcı,Turkey,LOSC Lille,78,1
799,M. Gregoritsch,Austria,FC Augsburg,78,2
800,J. Lascelles,United Kingdom,Newcastle United,78,1
801,T. Vilhena,Netherlands,Netherlands,78,2
802,Denis Suárez,Spain,RC Celta,78,2
803,K. Rekik,Netherlands,Hertha BSC,78,1
804,B. Traoré,Burkina Faso,Olympique Lyonnais,78,2
805,I. Amadou,France,Norwich City,78,2
806,M. Meyer,Germany,Crystal Palace,78,2
807,José Sá,Portugal,Olympiacos CFP,78,1
808,A. Selikhov,Russia,Spartak Moscow,78,1
809,A. Mitrović,Serbia,Fulham,78,1
810,G. Maripán,Chile,Deportivo Alavés,78,1
811,E. Skhiri,Tunisia,1. FC Köln,78,1
812,D. Dumfries,Netherlands,PSV,78,2
813,Bruno Viana,Brazil,SC Braga,78,1
814,M. Sels,Belgium,RC Strasbourg Alsace,78,1
815,A. Soumaoro,France,LOSC Lille,78,1
816,J. Veretout,France,Roma,78,1
817,V. Fischer,Denmark,FC København,78,2
818,S. Meïté,France,Torino,78,1
819,J. Boëtius,Netherlands,1. FSV Mainz 05,78,1
820,D. Berardi,Italy,Sassuolo,78,2
821,R. Gagliardini,Italy,Inter,78,2
822,R. Saravia,Argentina,FC Porto,78,1
823,Ayoze Pérez,Spain,Leicester City,78,1
824,H. Hateboer,Netherlands,Atalanta,78,1
825,B. Verbič,Slovenia,Dynamo Kyiv,78,1
826,G. Martínez,Argentina,Atlanta United,78,1
827,Rafael Tolói,Brazil,Atalanta,78,2
828,S. Duffy,Ireland,Brighton & Hove Albion,78,1
829,F. Lejeune,France,Newcastle United,78,2
830,L. Dunk,United Kingdom,Brighton & Hove Albion,78,1
831,Pedro Mendes,Portugal,Montpellier HSC,78,1
832,Fernando,Brazil,Beijing Sinobo Guoan FC,78,1
833,K. Fortounis,Greece,Olympiacos CFP,78,2
834,C. Hérelle,France,OGC Nice,78,1
835,Omar Mascarell,Spain,FC Schalke 04,78,1
836,Bruma,Portugal,PSV,78,2
837,S. Deli,Cote d'Ivoire,Club Brugge KV,78,1
838,M. Ngadeu,Cameroon,KAA Gent,78,1
839,V. Wanyama,Kenya,Tottenham Hotspur,78,2
840,C. Kabasele,Belgium,Watford,78,1
841,A. Delort,Algeria,Montpellier HSC,78,2
842,Joel Robles,Spain,Real Betis,78,1
843,Sérgio Oliveira,Portugal,FC Porto,78,1
844,V. Aboubakar,Cameroon,FC Porto,78,3
845,M. Uth,Germany,FC Schalke 04,78,1
846,M. Doherty,Ireland,Wolverhampton Wanderers,78,1
847,David López,Spain,RCD Espanyol,78,1
848,R. Freuler,Switzerland,Atalanta,78,2
849,D. Demme,Germany,RB Leipzig,78,1
850,A. Schwolow,Germany,SC Freiburg,78,1
851,J. Vestergaard,Denmark,Southampton,78,2
852,F. Mollet,France,Montpellier HSC,78,1
853,J. Hofmann,Germany,Borussia Mönchengladbach,78,2
854,V. Grifo,Italy,TSG 1899 Hoffenheim,78,1
855,F. Tait,France,Stade Rennais FC,78,1
856,D. Laxalt,Uruguay,Milan,78,2
857,N. Maksimović,Serbia,Napoli,78,2
858,Capa,Spain,Athletic Club de Bilbao,78,1
859,Bastos,Angola,Lazio,78,2
860,M. Diagne,Senegal,Galatasaray SK,78,1
861,G. Ochoa,Mexico,Club América,78,3
862,C. Tévez,Argentina,Boca Juniors,78,3
863,J. Sosa,Argentina,Trabzonspor,78,2
864,Raffael,Brazil,Borussia Mönchengladbach,78,2
865,Andrés Fernández,Spain,Villarreal CF,78,1
866,J. Pinola,Argentina,River Plate,78,2
867,M. Zárate,Argentina,Boca Juniors,78,2
868,Hilton,Brazil,Montpellier HSC,78,2
869,G. Hoarau,France,BSC Young Boys,78,2
870,A. Granqvist,Sweden,Helsingborgs IF,78,2
871,R. Babel,Netherlands,Galatasaray SK,78,3
872,T. Vermaelen,Belgium,Vissel Kobe,78,3
873,D. Abraham,Argentina,Eintracht Frankfurt,78,2
874,S. Nasri,France,RSC Anderlecht,78,3
875,I. Khune,South Africa,Kaizer Chiefs,78,2
876,A. Masiello,Italy,Atalanta,78,2
877,R. Bertrand,United Kingdom,Southampton,78,2
878,J. dos Santos,Mexico,LA Galaxy,78,1
879,Gervinho,Cote d'Ivoire,Parma,78,3
880,N. Şahin,Turkey,SV Werder Bremen,78,3
881,S. Defour,Belgium,Burnley,78,2
882,K. Mirallas,Belgium,Everton,78,2
883,Manu García,Spain,Deportivo Alavés,78,1
884,Coke,Spain,Levante UD,78,2
885,V. Moses,Nigeria,Fenerbahçe SK,78,2
886,C. Ansaldi,Argentina,Torino,78,2
887,S. Mignolet,Belgium,Club Brugge KV,78,3
888,H. Moreno,Mexico,Mexico,78,3
889,J. Tomkins,United Kingdom,Crystal Palace,78,2
890,F. Caicedo,Ecuador,Lazio,78,2
891,V. Birsa,Slovenia,Cagliari,78,2
892,D. Mbokani,DR Congo,Royal Antwerp FC,78,2
893,C. Zapata,Colombia,Genoa,78,2
894,J. Hernández,Mexico,West Ham United,78,3
895,P. Diop,Senegal,SD Eibar,78,1
896,M. Sulejmani,Serbia,BSC Young Boys,78,2
897,D. Da Silva,France,Stade Rennais FC,78,2
898,Marcelo,Brazil,Olympique Lyonnais,78,2
899,Guilherme,Russia,Lokomotiv Moscow,78,2
900,S. Jovetić,Montenegro,AS Monaco,78,3
901,M. Cáceres,Uruguay,Lazio,78,2
902,J. Holebas,Greece,Watford,78,2
903,N. Amrabat,Morocco,Al Nassr,78,2
904,T. Deeney,United Kingdom,Watford,78,2
905,L. Fejsa,Serbia,SL Benfica,78,2
906,D. Schwaab,Germany,PSV,78,2
907,O. Karnezis,Greece,Napoli,78,2
908,N. Petersen,Germany,SC Freiburg,78,2
909,P. Piatti,Argentina,RCD Espanyol,78,2
910,S. Wagner,Germany,Tianjin TEDA FC,78,2
911,Bruno,Spain,Villarreal CF,78,3
912,Adrien Silva,Portugal,Leicester City,78,3
913,Mikel San José,Spain,Athletic Club de Bilbao,78,2
914,D. Welbeck,United Kingdom,Watford,78,3
915,R. Zieler,Germany,Hannover 96,78,2
916,A. Barnes,United Kingdom,Burnley,78,1
917,A. Dzyuba,Russia,Russia,78,2
918,C. Grenier,France,Stade Rennais FC,78,2
919,Camacho,Spain,VfL Wolfsburg,78,2
920,Rafael Carioca,Brazil,Tigres U.A.N.L.,78,1
921,Alan Carvalho,Brazil,Tianjin Quanjian FC,78,2
922,R. Boudebouz,Algeria,AS Saint-Étienne,78,2
923,A. Mehmedi,Switzerland,VfL Wolfsburg,78,2
924,Daniel Carriço,Portugal,Sevilla FC,78,2
925,S. Rudy,Germany,TSG 1899 Hoffenheim,78,2
926,Souza,Brazil,Al Ahli,78,2
927,B. Hübner,Germany,TSG 1899 Hoffenheim,78,2
928,Iborra,Spain,Villarreal CF,78,2
929,J. Baumgartlinger,Austria,Bayer 04 Leverkusen,78,2
930,Rafael,Brazil,Olympique Lyonnais,78,2
931,B. Mee,United Kingdom,Burnley,78,1
932,De Marcos,Spain,Athletic Club de Bilbao,78,2
933,M. Hitz,Switzerland,Borussia Dortmund,78,2
934,N. Clyne,United Kingdom,Liverpool,78,2
935,B. André,France,LOSC Lille,78,2
936,M. Antonio,United Kingdom,West Ham United,78,2
937,P. Groß,Germany,Brighton & Hove Albion,78,2
938,J. Guðmundsson,Iceland,Burnley,78,1
939,D. Ginczek,Germany,VfL Wolfsburg,78,2
940,S. Cook,United Kingdom,Bournemouth,78,1
941,Jaume Costa,Spain,Valencia CF,78,1
942,R. Soriano,Italy,Bologna,78,2
943,G. Medel,Chile,Beşiktaş JK,78,3
944,D. Didavi,Germany,VfB Stuttgart,78,2
945,Hugo Mallo,Spain,RC Celta,78,2
946,A. Townsend,United Kingdom,Crystal Palace,78,2
947,T. Cairney,United Kingdom,Fulham,78,1
948,A. Finnbogason,Iceland,FC Augsburg,78,2
949,N. Lodeiro,Uruguay,Seattle Sounders FC,78,2
950,G. Krychowiak,Poland,Lokomotiv Moscow,78,3
951,B. Stambouli,France,FC Schalke 04,78,2
952,K. Malcuit,France,Napoli,78,2
953,Nolito,Spain,Sevilla FC,78,3
954,S. Rode,Germany,Eintracht Frankfurt,78,2
955,A. Marchesín,Argentina,FC Porto,78,1
956,G. Ramírez,Uruguay,Sampdoria,78,2
957,M. Rojo,Argentina,Manchester United,78,3
958,Naldo,Brazil,RCD Espanyol,78,1
959,J. Gouweleeuw,Netherlands,FC Augsburg,78,1
960,G. Defrel,France,Roma,78,2
961,Álvaro,Spain,Olympique de Marseille,78,1
962,A. Carrillo,Peru,Al Hilal,78,2
963,S. García,Uruguay,Godoy Cruz,78,1
964,Djaniny,Cabo Verde,Al Ahli,78,1
965,Z. Feddal,Morocco,Real Betis,78,1
966,L. Pavoletti,Italy,Cagliari,78,2
967,R. Olsen,Sweden,Roma,78,1
968,G. Pizarro,Argentina,Tigres U.A.N.L.,78,1
969,M. de Roon,Netherlands,Atalanta,78,2
970,H. Sakai,Japan,Olympique de Marseille,78,1
971,G. Kanga,Gabon,Sparta Praha,78,1
972,F. Fabra,Colombia,Boca Juniors,78,1
973,G. Cano,Argentina,Independiente Medellín,78,1
974,C. Izquierdoz,Argentina,Boca Juniors,78,1
975,A. Donatti,Argentina,Racing Club,78,1
976,I. Fernández,Argentina,River Plate,78,1
977,N. Domínguez,Argentina,Racing Club,78,1
978,Marcelo Goiano,Brazil,Sivasspor,78,1
979,J. Seri,Cote d'Ivoire,Galatasaray SK,78,2
980,R. Battaglia,Argentina,Sporting CP,78,1
981,G. Arias,Chile,Racing Club,78,1
982,O. Al Soma,Syria,Al Ahli,78,2
983,M. Campaña,Uruguay,Independiente,78,1
984,Ronaldo Esler,Brazil,Atlético Mineiro,78,1
985,Claudio Coíntra,Brazil,Internacional,78,1
986,Everticinho,Brazil,Grêmio,78,1
987,Sidney Pessinho,Brazil,Internacional,78,1
988,Júnior Moraes,Ukraine,Shakhtar Donetsk,78,1
989,E. Guichón,Uruguay,Uruguay,78,1
990,G. Quintana,Uruguay,Uruguay,78,1
991,F. Contedo,Uruguay,Uruguay,78,1
992,D. Upamecano,France,RB Leipzig,77,1
993,E. Audero,Italy,Sampdoria,77,1
994,D. Calabria,Italy,Milan,77,1
995,E. Palacios,Argentina,River Plate,77,1
996,M. Grujić,Serbia,Hertha BSC,77,1
997,P. Cutrone,Italy,Wolverhampton Wanderers,77,1
998,D. Brooks,United Kingdom,Bournemouth,77,1
999,M. Vargas,Argentina,RCD Espanyol,77,1
1000,Brais Méndez,Spain,RC Celta,77,1
1001,Luiz Felipe,Brazil,Lazio,77,1
1002,Y. Atal,Algeria,OGC Nice,77,1
1003,J. Grealish,United Kingdom,Aston Villa,77,1
1004,A. Miranchuk,Russia,Lokomotiv Moscow,77,1
1005,Jorge Meré,Spain,1. FC Köln,77,1
1006,N. Mukiele,France,RB Leipzig,77,1
1007,C. Nkunku,France,RB Leipzig,77,1
1008,Wendel,Brazil,Sporting CP,77,1
1009,F. Valverde,Uruguay,Real Madrid,77,1
1010,L. Martínez,Argentina,Ajax,77,1
1011,N. Vlašić,Croatia,PFC CSKA Moscow,77,1
1012,Reguilón,Spain,Sevilla FC,77,1
1013,Renan Lodi,Brazil,Atlético Madrid,77,1
1014,G. Simeone,Argentina,Fiorentina,77,2
1015,A. Sanabria,Paraguay,Genoa,77,1
1016,R. Borré,Colombia,River Plate,77,1
1017,E. Ünal,Turkey,Real Valladolid CF,77,1
1018,M. Pašalić,Croatia,Atalanta,77,1
1019,P. Bernardoni,France,Nîmes Olympique,77,1
1020,L. Cook,United Kingdom,Bournemouth,77,1
1021,E. Boateng,Ghana,Dalian YiFang FC,77,1
1022,N. Nández,Uruguay,Cagliari,77,1
1023,J. Mæhle,Denmark,KRC Genk,77,1
1024,N. Mazraoui,Morocco,Ajax,77,1
1025,F. Bustos,Argentina,Independiente,77,1
1026,A. Barák,Czech Republic,Udinese,77,1
1027,M. Rojas,Paraguay,Racing Club,77,1
1028,S. McTominay,United Kingdom,Manchester United,77,1
1029,Galeno,Brazil,SC Braga,77,1
1030,Chiquinho,Portugal,SL Benfica,77,1
1031,K. Mbabu,Switzerland,VfL Wolfsburg,77,1
1032,P. Sisto,Denmark,RC Celta,77,1
1033,J. Bednarek,Poland,Southampton,77,1
1034,D. Calvert-Lewin,United Kingdom,Everton,77,1
1035,O. Duda,Slovakia,Hertha BSC,77,1
1036,M. Lopez,France,Olympique de Marseille,77,1
1037,Vallejo,Spain,Wolverhampton Wanderers,77,1
1038,K. Laimer,Austria,RB Leipzig,77,1
1039,Borja Mayoral,Spain,Levante UD,77,1
1040,Córdoba,Spain,Athletic Club de Bilbao,77,1
1041,P. Rosario,Netherlands,PSV,77,1
1042,W. Hughes,United Kingdom,Watford,77,1
1043,M. Weiser,Germany,Bayer 04 Leverkusen,77,2
1044,Andreas Pereira,Brazil,Manchester United,77,1
1045,Emerson,Italy,Chelsea,77,2
1046,M. Benassi,Italy,Fiorentina,77,2
1047,A. Djiku,France,RC Strasbourg Alsace,77,1
1048,Diego Llorente,Spain,Real Sociedad,77,1
1049,W. Cyprien,France,OGC Nice,77,2
1050,F. Acheampong,Ghana,Tianjin TEDA FC,77,1
1051,N. Bentaleb,Algeria,FC Schalke 04,77,2
1052,P. Højbjerg,Denmark,Southampton,77,2
1053,L. Miranda,Argentina,Club Tijuana,77,1
1054,A. Petagna,Italy,SPAL,77,1
1055,K. Tete,Netherlands,Olympique Lyonnais,77,2
1056,G. Escalante,Argentina,SD Eibar,77,1
1057,Alex Berenguer,Spain,Torino,77,1
1058,O. Colley,Gambia,Sampdoria,77,1
1059,S. Sensi,Italy,Inter,77,1
1060,M. Gaćinović,Serbia,Eintracht Frankfurt,77,1
1061,M. Diakhaby,France,Valencia CF,77,1
1062,M. Arambarri,Uruguay,Getafe CF,77,1
1063,R. Marin,Romania,Ajax,77,1
1064,M. Niang,Senegal,Stade Rennais FC,77,2
1065,O. Selnæs,Norway,Shenzhen FC,77,1
1066,R. Pizarro,Mexico,Monterrey,77,2
1067,C. Salcedo,Mexico,Tigres U.A.N.L.,77,1
1068,B. Fernández,Argentina,Portland Timbers,77,1
1069,R. Bensebaini,Algeria,Borussia Mönchengladbach,77,2
1070,Aritz Elustondo,Spain,Real Sociedad,77,1
1071,G. Pereiro,Uruguay,PSV,77,2
1072,Cláudio Ramos,Portugal,CD Tondela,77,1
1073,N. Redmond,United Kingdom,Southampton,77,2
1074,T. Koubek,Czech Republic,FC Augsburg,77,1
1075,L. Ocampos,Argentina,Sevilla FC,77,2
